Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0S1-100 1 0.0375755013457 0.55242 0.0954844234359 4.80351435748 -1.91932305222 0.0625060937591 0.128462753113 0.0625054877634 0.128463359108
L0S1-100 2 0.0867784807708 0.651090403714 0.094841201096 6.01083064103 -2.42184502144 0.0782305607306 0.111451841461 0.0782302555005 0.111452146691
L0S1-100 3 0.0873532443165 0.684472808725 0.0934336047897 6.10605784025 -2.6205895446 0.0805665917803 0.106300617799 0.0805663553416 0.106300854238
L1S1-100 1 -0.0984492607039 0.439130054961 0.0187200168232 -6.2487979609 -3.63859200527 0.0144770474349 0.0229629862114 0.0144769694679 0.0229630641784
L1S1-100 2 -0.115863974588 0.462926954143 0.0197153015845 -6.83849345316 -3.62527373786 0.0146138711148 0.0248167320542 0.0146137773731 0.0248168257959
L1S1-100 3 -0.143808930091 0.478940800701 0.0201891269059 -8.01591190363 -3.73210233852 0.0138917153473 0.0264865384646 0.0138915996288 0.0264866541831
L2S1-100 1 0.101045432283 0.3675 0.0503029673474 15.1792542859 -2.59143374548 0.0291472050576 0.0714587296372 0.0291468163084 0.0714591183865
L2S1-100 2 0.0275570186398 0.29184487937 0.0200793565036 0.619153642978 -2.95147581434 0.016179657165 0.0239790558422 0.0161795855058 0.0239791275014
L0S2-100 1 0.0886444370499 0.849503492238 0.0991496089685 6.79229749822 -2.84428157658 0.0904270635204 0.107872154417 0.0904269032386 0.107872314698
L0S2-100 2 0.0808713541746 0.897661770155 0.0878610100263 6.32713449655 -3.61024648394 0.0844572520176 0.091264768035 0.0844571894716 0.091264830581
L0S2-100 3 0.0783077575104 0.981433978376 0.0906360115738 6.26694893424 -3.78806545918 0.0879319746453 0.0933400485022 0.0879319249571 0.0933400981904
L1S2-100 1 0.0532722199061 0.422352234859 0.067715762691 5.46876275968 -2.65763099967 0.0515093472902 0.0839221780917 0.0515090494881 0.0839224758938
L1S2-100 2 0.0558771258275 0.422810660551 0.0674486196629 5.43283466223 -2.65117073756 0.05134162499 0.0835556143358 0.0513413290148 0.083555910311
L1S2-100 3 0.0585482214459 0.421535528255 0.065747979515 5.29752763875 -2.62274133581 0.0498846256948 0.0816113333352 0.0498843341966 0.0816116248334
L2S2-100 1 0.0468488539919 0.24365202881 0.0377338473745 4.15776148509 -4.04231960528 0.0313384312206 0.0441292635284 0.0313383137012 0.0441293810478
L2S2-100 2 0.0557157732545 0.193322513227 0.0538683742984 4.64954261585 -4.52988508473 0.0472645504806 0.0604721981161 0.0472644291316 0.0604723194652
L0S3-100 1 0.0912155314736 0.863665934515 0.0916080515459 7.56445452826 -3.41241021897 0.0868375931292 0.0963785099626 0.0868375054693 0.0963785976225
L0S3-100 2 0.0857497361691 0.894803329056 0.0879716205058 7.36446881154 -3.64627512608 0.0844760207531 0.0914672202585 0.0844759565194 0.0914672844922
L0S3-100 3 0.0850578100544 0.900256446069 0.0879667277129 7.31072390541 -3.67754514979 0.0845904175021 0.0913430379236 0.0845903554605 0.0913430999652
L1S3-100 1 0.0693476849943 0.500318074234 0.125101201481 8.88871670695 -2.92395015722 0.100681463379 0.149520939582 0.100681014653 0.149521388309
L1S3-100 2 0.0681377040039 0.494525931023 0.120536011158 9.01050372106 -2.92838271873 0.0971542718236 0.143917750492 0.0971538421707 0.143918180145
L1S3-100 3 0.066591213444 0.491615171393 0.118131215466 9.5212367288 -2.98063876402 0.0962533193203 0.140009111612 0.0962529173015 0.140009513631
L2S3-100 1 0.0428159678112 0.1419 0.0509070947284 4.3051204652 -3.96291204269 0.0350772985359 0.0667368909209 0.0350770076543 0.0667371818025
L2S3-100 2 0.0401648589064 0.13866 0.0525806709039 4.23567815804 -3.97183794245 0.0360307066077 0.0691306352 0.0360304024927 0.0691309393151
L0S4-100 1 0.101749177119 0.779204277713 0.0943588215065 6.24006447612 -3.0453199038 0.0865617158215 0.102155927192 0.0865615725452 0.102156070468
L0S4-100 2 0.102445765862 0.804752135539 0.0897528544407 5.82871729992 -3.24772313753 0.0839688292512 0.0955368796302 0.0839687229664 0.095536985915
L0S4-100 3 0.09910410191 0.793765982519 0.0897987097959 6.17433352687 -3.25896300705 0.0838906044134 0.0957068151783 0.0838904958485 0.0957069237432
L1S4-100 1 0.050503201295 0.532588526003 0.0628480376981 4.38473597963 -4.07903053087 0.0598486155144 0.0658474598818 0.0598485603983 0.0658475149979
L1S4-100 2 0.0396184134946 0.581308889706 0.0536349960078 3.40374504576 -4.22139567863 0.0517494965296 0.0555204954861 0.0517494618824 0.0555205301332
L1S4-100 3 0.048183532382 0.530466818754 0.0544969367979 3.7770607864 -4.20604922333 0.0523202336125 0.0566736399834 0.0523201936143 0.0566736799816
L2S4-100 1 -0.0475573530175 0.402007939271 0.00631863338903 -20.0 -3.60048404011 0.00466917709795 0.00796808968012 0.00466914678824 0.00796811998982
L2S4-100 2 -0.116868830659 0.357453582589 0.00935616667673 -20.0 -3.62170395071 0.00223630194566 0.0164760314078 0.00223617111407 0.0164761622394
L0S5-100 1 0.0829781963065 0.834993291597 0.110873988604 5.59286483364 -3.21934590057 0.103482221414 0.118265755794 0.103482085586 0.118265891622
L0S5-100 2 0.0792348501495 0.915062565963 0.105944476615 5.35626820705 -3.92636567769 0.102763100501 0.10912585273 0.102763042042 0.109125911189
L0S5-100 3 0.0781760396313 0.902456813323 0.100198502092 5.37335410069 -4.061310056 0.0975335574958 0.102863446688 0.0975335085259 0.102863495658
L1S5-100 1 0.0756280869729 0.3312393232 0.0363249581174 3.40370558828 -3.99184691273 0.0334418201015 0.0392080961333 0.0334417671222 0.0392081491126
L1S5-100 2 0.0434134252402 0.380353731654 0.0357616588893 2.1748806485 -4.59981204293 0.0344609145352 0.0370624032435 0.0344608906332 0.0370624271455
L1S5-100 3 0.0624334249195 0.361481543633 0.0393690773492 2.58523687073 -4.21708236707 0.0372054153263 0.0415327393722 0.0372053755678 0.0415327791307
L2S5-100 1 0.0525132875505 0.144563021011 0.0511770545773 5.10780294751 -4.53024026629 0.0423631742624 0.0599909348923 0.0423630123023 0.0599910968524
L2S5-100 2 0.0485721621275 0.14292 0.0527003759957 4.75121075495 -4.40828066715 0.0424588809452 0.0629418710462 0.0424586927518 0.0629420592396
L2S1-100 3 0.0546949604659 0.33864 0.0214729744535 2.97440022985 -2.68358326791 0.0179544229374 0.0249915259696 0.017954358282 0.024991590625
L2S2-100 3 0.0578367958113 0.188877092588 0.0641163493507 4.91879678741 -4.08475903917 0.0511621299594 0.0770705687421 0.0511618919182 0.0770708067833
L2S3-100 3 0.0419211792683 0.14226 0.0538974224791 4.32400459144 -4.06042487774 0.0387531544051 0.0690416905532 0.0387528761205 0.0690419688378
L2S4-100 3 -0.532999410667 0.755943727972 0.031260774794 -20.0 -3.69644188842 -0.00463659358454 0.0671581431725 -0.00463725321923 0.0671588028072
L2S5-100 3 0.0507129003061 0.14382 0.0539392709521 4.83843031285 -4.48812521699 0.0442407091051 0.0636378327991 0.0442405308885 0.0636380110157
