Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0P1-100 1 0.0147223116031 0.59502 0.208332696797 4.05674692168 -1.70661153496 0.0677029959514 0.348962397642 0.0677004118002 0.348964981794
L1J1-100 1 0.0896515751173 0.850915826571 0.291606425551 7.62622150567 -1.83092267649 0.185715730021 0.39749712108 0.185713784219 0.397499066882
L1J1-100 2 0.0917475395381 0.88675920115 0.298391487997 7.28997751896 -1.83994503634 0.196166802231 0.400616173763 0.196164923794 0.4006180522
L1J1-100 3 0.0926077504788 0.907627500032 0.299069737638 7.31177554342 -1.87409674044 0.202789312064 0.395350163213 0.202787542856 0.395351932421
L1F1-100 1 0.0718754141698 0.962197996236 0.118962781977 9.82688267583 -2.5636807592 0.105699990121 0.132225573832 0.10569974641 0.132225817544
L1F1-100 2 0.0754420977953 0.910505276815 0.11506468045 10.1798341025 -2.22803570063 0.0964328568444 0.133696504055 0.096432514474 0.133696846426
L1F1-100 3 0.0648680158926 0.680582575871 0.0926272432034 8.63609338684 -2.76286122277 0.0805342055005 0.104720280906 0.080533983284 0.104720503123
L0P1-100 2 0.0756063654175 0.701200298495 0.187369868067 4.08666274124 -2.2706720007 0.134315732606 0.240424003529 0.134314757706 0.240424978429
L1J2-100 1 0.0937359192341 0.922054041131 0.272880565116 8.95504692733 -2.13740692662 0.208298640899 0.337462489333 0.208297454169 0.337463676062
L1J2-100 2 0.0922332383255 0.975723964399 0.271253863379 8.87185826708 -2.19453289241 0.215339556881 0.327168169878 0.215338529424 0.327169197335
L1J2-100 3 0.087915641451 1.00881877082 0.278038872203 8.70988334035 -2.26454001454 0.22580322734 0.330274517066 0.22580226748 0.330275476926
L1F2-100 1 0.0641548799023 1.06552392137 0.0705384440131 7.07476220362 -3.30649019762 0.0677700563652 0.0733068316609 0.0677700054945 0.0733068825317
L1F2-100 3 0.0552708666758 0.889691172589 0.0594416252647 8.44291027453 -3.11520665665 0.0560556741983 0.0628275763312 0.0560556119795 0.0628276385499
L0P1-100 3 0.0652753403888 0.724817403398 0.180050220785 4.03898356862 -2.40091434319 0.13833537884 0.221765062731 0.138334612306 0.221765829265
L1J3-100 1 0.090077352375 1.04066192661 0.291152577611 7.49541860188 -2.32287084313 0.239953074521 0.342352080701 0.239952133701 0.342353021521
L1J3-100 2 0.0913011068244 1.04002602825 0.293354452524 7.04413076616 -2.37426073388 0.244106389154 0.342602515895 0.244105484192 0.342603420856
L1J3-100 3 0.100052595265 1.17730751153 0.25131327484 6.63466294291 -2.77108046414 0.228524781352 0.274101768328 0.2285243626 0.27410218708
L1F3-100 1 0.0465561363863 1.40698244637 0.0829682638127 9.1271152186 -3.06131225549 0.0797903733965 0.0861461542288 0.079790315001 0.0861462126244
L1F3-100 2 0.0477100830501 1.25937385367 0.07842099179 9.80108148136 -3.14713971189 0.0753256285803 0.0815163549996 0.0753255717012 0.0815164118787
L1F3-100 3 0.0504846216339 1.07772734147 0.0702428858306 8.95328281995 -2.8843685378 0.0659805433906 0.0745052282705 0.0659804650677 0.0745053065935
L1J5-100 1 0.0937882932056 1.03782905424 0.293746909496 7.10439721908 -2.21347218873 0.2356710603 0.351822758691 0.235669993123 0.351823825868
L1J5-100 2 0.0884183927746 1.05258549905 0.307917841517 7.17861792295 -2.2563866859 0.249537101019 0.366298582016 0.24953602824 0.366299654795
L1J5-100 3 0.0901131058841 1.05826744659 0.292635115652 7.3206371931 -2.21528606226 0.237075558166 0.348194673137 0.237074537228 0.348195694076
L1F4-100 1 0.0187170457487 0.960610623501 0.0374997017057 6.31381677006 -4.08229988573 0.0367514257162 0.0382479776952 0.0367514119662 0.0382479914452
L1F4-100 2 0.0198146176303 1.0180079439 0.0386012857124 6.42547200351 -4.05452841991 0.0378556585958 0.039346912829 0.0378556448944 0.0393469265304
L1F4-100 3 0.0344833323069 0.853349006924 0.0381032936796 7.20112331105 -3.84357614042 0.037066827194 0.0391397601653 0.0370668081483 0.0391397792109
L1D4-100 1 0.0926368703521 0.886681858224 0.142458100662 14.4821786566 -2.49958809938 0.121963495389 0.162952705935 0.121963118788 0.162953082535
L1D4-100 2 0.0925601161109 0.953539004979 0.143271616301 14.2894631816 -2.69760085915 0.127506528597 0.159036704005 0.127506238905 0.159036993698
L1D4-100 3 0.0977395212978 0.948253555502 0.149589274892 14.2411834213 -2.68932728223 0.132480056722 0.166698493062 0.132479742331 0.166698807453
L1F5-100 1 0.0532081950553 0.95863905474 0.0743409206623 8.72494747698 -3.18200016615 0.0706269305119 0.0780549108127 0.0706268622652 0.0780549790594
L1F5-100 2 0.0516402343868 0.96242179696 0.0680360719967 8.58388615943 -3.21616182634 0.064854689675 0.0712174543184 0.0648546312153 0.0712175127782
L1F5-100 3 0.0545604058447 0.884585345517 0.0683388016765 9.10441939578 -3.02450179847 0.0640939955562 0.0725836077968 0.0640939175554 0.0725836857975
L1D5-100 1 0.103517318726 0.738166847797 0.144089044343 13.9470160119 -2.07627904334 0.105974093882 0.182203994803 0.105973393498 0.182204695187
L1D5-100 2 0.0985580324819 0.844111663822 0.146912963994 13.9205673126 -2.39823064753 0.121866232319 0.171959695669 0.121865772071 0.171960155917
L1D5-100 3 0.0973132803684 0.817706053394 0.142342548169 13.7411120813 -2.38288773882 0.117255328452 0.167429767886 0.11725486746 0.167430228878
