Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0J5-100 1 0.0900188270888 1.02280701384 0.284136359012 6.72539666285 -2.38280024014 0.236265349062 0.332007368962 0.236264469404 0.332008248619
L0J5-100 2 0.0951219605293 1.01906068821 0.289216350758 6.69667226368 -2.35960691443 0.238948635914 0.339484065602 0.238947712216 0.3394849893
L0J5-100 3 0.0918916202654 1.0178857896 0.293682808729 6.66712691926 -2.26160460728 0.237249427092 0.350116190367 0.237248390096 0.350117227363
L1B5-100 1 0.0436009188453 0.980308211394 0.0802155987723 8.90280545977 -4.48328466385 0.079011416012 0.0814197815325 0.0790113938844 0.0814198036601
L1B5-100 2 0.0450310022205 0.889707303575 0.0746041848896 9.08646111924 -4.48753131583 0.073194284868 0.0760140849112 0.0731942589602 0.0760141108189
L1B1-100 3 0.0586183088409 0.819913139665 0.120127837317 10.4155977909 -4.10133353592 0.115744800181 0.124510874454 0.11574471964 0.124510954995
L1B2-100 3 0.0562721079412 0.60116054055 0.113331324312 10.94162926 -3.4323823475 0.101952690461 0.124709958163 0.101952481372 0.124710167252
L1B3-100 3 0.0480469928946 0.998559930528 0.102104198762 9.1632352718 -3.42372079214 0.0972398442763 0.106968553247 0.097239754891 0.106968642632
L1B4-100 3 0.0514388180831 0.630939506869 0.0841059532839 7.50471639536 -2.92469471812 0.0742868328943 0.0939250736734 0.0742866524623 0.0939252541054
L1B5-100 3 0.0483651221511 1.01082875456 0.0993525140434 8.95968147818 -4.46580453853 0.0976813496758 0.101023678411 0.0976813189672 0.10102370912
