Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L1D1-100 1 0.051149090755 0.181676924534 0.0177691676123 15.4353464342 -4.32278417352 0.0160449591674 0.0194933760571 0.0160449274841 0.0194934077404
L1D3-100 1 0.0467317206687 0.187039397692 0.0115738554658 14.1062427742 -5.51974401868 0.0112556500699 0.0118920608617 0.0112556442227 0.0118920667089
L1P1-100 1 0.0646471776454 0.883510971304 0.16228938765 4.67571024869 -2.53866515687 0.139785232688 0.184793542612 0.139784819161 0.184793956139
L1P2-100 1 0.0642583177618 0.895987055891 0.172573677206 4.68999139699 -2.57497450078 0.148604233447 0.196543120965 0.148603792995 0.196543561417
L1P3-100 1 0.0649112656274 0.858864850389 0.176789007345 4.53603462985 -2.51281666636 0.149045159228 0.204532855461 0.149044649419 0.20453336527
L1P4-100 1 0.0714716399298 0.886607446379 0.196601436069 4.6914295663 -2.45184672557 0.163094384497 0.230108487641 0.163093768786 0.230109103353
L1P5-100 1 0.073299427252 0.815212789415 0.210060869419 4.43187860807 -2.26284498118 0.159028434776 0.261093304061 0.159027497026 0.261094241812
L1D1-100 2 0.0467284514615 0.223058323457 0.0131086364736 11.1548470601 -5.82163633532 0.0128863848716 0.0133308880756 0.0128863807876 0.0133308921596
L1D3-100 2 0.0481707590621 0.189794802696 0.0136455530332 13.0543522002 -5.74299779176 0.0133331102845 0.0139579957819 0.0133331045432 0.0139580015232
L1P1-100 2 0.0604320998942 0.923525612055 0.152187112168 4.82373645851 -2.8432476966 0.137900410645 0.166473813691 0.137900148119 0.166474076218
L1P2-100 2 0.0604313291486 0.920751017179 0.165563418312 4.69251824557 -2.78544866909 0.147834548564 0.183292288061 0.147834222786 0.183292613839
L1P3-100 2 0.0643753142716 0.898614478158 0.174009573698 4.38104561575 -2.72684246879 0.153226190672 0.194792956724 0.153225808765 0.194793338631
L1P4-100 2 0.0657043927222 0.909517222243 0.182862833191 4.41980247256 -2.76099764695 0.16121716465 0.204508501732 0.161216766898 0.204508899484
L1P5-100 2 0.0705104178804 0.881294391712 0.19149129697 4.13557446047 -2.71071198534 0.165450368756 0.217532225185 0.165449890239 0.217532703702
L1D1-100 3 0.0473959031295 0.229628630988 0.0148197527223 11.9602790386 -5.63682817858 0.0145158627993 0.0151236426453 0.0145158572152 0.0151236482294
L1D3-100 3 0.0501892870977 0.207313608346 0.0162392634057 11.9853171344 -5.55576439328 0.0158294746514 0.01664905216 0.0158294671213 0.0166490596901
L1P1-100 3 0.062063297094 0.92713936177 0.153356485465 4.49209500899 -2.84502898615 0.138997039787 0.167715931144 0.138996775924 0.167716195007
L1P2-100 3 0.0605932992927 0.948318210961 0.167030728263 4.61448031498 -2.8906137499 0.151394527841 0.182666928686 0.151394240516 0.18266721601
L1P3-100 3 0.0612117301304 0.883672140532 0.169655045138 4.42339603241 -2.7800694875 0.150130660812 0.189179429463 0.150130302041 0.189179788235
L1P4-100 3 0.0644311771707 0.927823060247 0.182841811946 4.3602585748 -2.80322928074 0.162527815281 0.20315580861 0.162527442 0.203156181891
L1P5-100 3 0.0660168066505 0.89151894953 0.185498383852 4.16421009994 -2.82582021855 0.163683417399 0.207313350306 0.163683016536 0.207313751168
L1D2-100 1 0.0458436065691 0.208262043874 0.0129812742334 12.949812522 -5.71778392541 0.0127083456851 0.0132542027816 0.0127083406699 0.0132542077968
L2B1-100 1 -0.28022927007 0.798786572771 0.0171872105546 -20.0 -3.78691466182 0.0129050400227 0.0214693810866 0.0129049613353 0.0214694597739
L2B2-100 1 -0.342470394545 0.656954278751 0.0200288921775 -20.0 -3.61523984088 0.00831082928907 0.0317469550659 0.00831061396295 0.031747170392
L2B3-100 1 -0.255793773605 0.522306754686 0.0164726561653 -20.0 -3.5294544938 0.00284232606404 0.0301029862666 0.00284207559892 0.0301032367318
L2B4-100 1 -0.0961603427895 0.406432448073 0.00871633462152 -20.0 -3.47143449505 0.00371255297614 0.0137201162669 0.00371246102879 0.0137202082143
L2B5-100 1 -0.339021173198 0.645937111561 0.0211428974834 -20.0 -3.6556235996 0.0073130299274 0.0349727650394 0.00731277579566 0.0349730191711
L1D2-100 2 0.0463917050583 0.218785446253 0.0120313960177 11.67633611 -5.87463301589 0.0118333775226 0.0122294145127 0.0118333738839 0.0122294181514
L2B1-100 2 -0.325807591036 0.78649230985 0.0193878708822 -20.0 -3.88703563191 0.0138195429625 0.0249561988018 0.0138194406413 0.024956301123
L2B2-100 2 0.05266686319 0.187595196761 0.0451208888358 3.47062976216 -3.93381555966 0.0333957581513 0.0568460195204 0.0333955426953 0.0568462349764
L2B3-100 2 -0.0143130090027 0.312979015954 0.00695544616078 -20.0 -3.27273089262 -0.0040685176359 0.0179794099575 -0.00406872020755 0.0179796125291
L2B4-100 2 0.0498885188309 0.14694 0.0546765092748 2.68096992645 -3.76495336082 0.0332940385092 0.0760589800405 0.033293645594 0.0760593729557
