Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0B1-100 1 0.0713064737021 0.796708442208 0.106088495421 5.39637362738 -4.11042306925 0.102130639615 0.110046351226 0.102130566888 0.110046423954
L0D1-100 1 0.0500993485903 0.902538621225 0.0970327232715 19.8230101608 -5.044888648 0.0956412971133 0.0984241494298 0.095641271545 0.098424174998
L0F1-100 1 0.0595559692707 1.27877764278 0.102471827021 8.45291646931 -4.04260714951 0.100304256808 0.104639397234 0.100304216978 0.104639437065
L0B1-100 2 0.071536113431 0.832045233991 0.104568513921 5.40527775337 -4.303219489 0.101630065535 0.107506962307 0.101630011539 0.107507016302
L0D1-100 2 0.0502378365862 0.881674840014 0.0981223591553 20.0 -3.95367922398 0.0948091787112 0.101435539599 0.0948091178296 0.101435600481
L0F1-100 2 0.0613290716659 1.26734527708 0.0994034960214 8.16920876105 -3.97518779346 0.0971571486121 0.101649843431 0.0971571073342 0.101649884709
L0B1-100 3 0.0741469284042 0.799740233045 0.102681403377 5.59510803335 -4.20186911152 0.099324872321 0.106037934433 0.0993248106428 0.106037996111
L0D1-100 3 0.0486444726441 0.664574029277 0.0766569438361 20.0 -4.90168984821 0.074812044806 0.0785018428663 0.0748120109049 0.0785018767673
L0B2-100 1 0.0460724452036 1.25064198616 0.101309131047 4.44442003181 -4.26080487304 0.0995586068281 0.103059655266 0.0995585746612 0.103059687433
L0F2-100 1 0.0859760005654 1.20509895164 0.128333257296 8.97398073942 -3.31186629794 0.123046007643 0.13362050695 0.123045910486 0.133620604106
L0B2-100 2 0.0487185364152 1.2530218702 0.100584258542 4.5792145164 -4.1929542162 0.098771811172 0.102396705912 0.0987717778673 0.102396739216
L0F2-100 2 0.0853234198171 1.22211755698 0.125667803945 9.02704003228 -3.41629850482 0.121065361484 0.130270246406 0.121065276911 0.130270330978
L0B2-100 3 0.0477991143342 1.24012565796 0.0932340043951 4.6608444935 -4.35909159798 0.091792291992 0.0946757167981 0.0917922654997 0.0946757432904
L0B3-100 1 0.0679321248871 0.836674500808 0.10479565137 6.44415721111 -4.24394315078 0.10191948498 0.107671817759 0.101919432129 0.10767187061
L0F3-100 1 0.0659300885353 1.459440233 0.109212493537 7.62412639419 -3.73205739552 0.107027759392 0.111397227682 0.107027719246 0.111397267828
L0B3-100 2 0.0628630046104 0.836842974673 0.0898182547394 5.82364637085 -3.93735989124 0.0865444564543 0.0930920530244 0.0865443962964 0.0930921131823
L0F3-100 2 0.0759986461474 1.32948519906 0.115020468427 8.04301661298 -3.49829800398 0.111638254611 0.118402682242 0.111638192461 0.118402744392
L0B3-100 3 0.0598842337315 0.817329742982 0.0847014219617 6.49673120581 -4.14381240192 0.0822041718931 0.0871986720303 0.0822041260047 0.0871987179187
L0B4-100 1 0.0572190968772 0.913564110058 0.0989751218901 5.62619814993 -4.11536738184 0.0962220091094 0.101728234671 0.0962219585194 0.101728285261
L0D4-100 1 0.0471767659706 0.186861485787 0.00605696525491 18.7190305053 -5.58386975431 0.0058819924083 0.00623193810152 0.00588198919308 0.00623194131674
L0F4-100 1 0.0790856611376 1.20803144958 0.1253753685 10.091248253 -3.27473307311 0.120049246878 0.130701490122 0.120049149007 0.130701587992
L0B4-100 2 0.0514243764073 0.936306420078 0.0924933055769 5.11295395736 -3.67717590092 0.0886234902503 0.0963631209035 0.0886234191403 0.0963631920135
L0F4-100 2 0.0783403429882 1.21176103659 0.119430844593 10.088032947 -3.34311700677 0.11471778725 0.124143901936 0.114717700645 0.124143988541
L0B4-100 3 0.0570636020943 0.875723868475 0.0911104802029 5.50653797082 -3.97201939034 0.088081323135 0.0941396372708 0.0880812674725 0.0941396929333
L0B5-100 1 0.0539903521465 1.08180447797 0.0942020961164 4.43314238896 -5.01113629967 0.0933359137074 0.0950682785254 0.0933358977908 0.095068294442
L0D5-100 1 0.0476454961011 1.02694070038 0.0913663048451 19.9396733168 -3.94313957338 0.0887631645882 0.0939694451019 0.0887631167541 0.0939694929361
L0F5-100 1 0.07490337212 1.2140389966 0.110994362821 6.77179132205 -3.6764722486 0.107819015491 0.11416971015 0.107818957142 0.114169768499
L0B5-100 2 0.0569718692893 1.05236837065 0.0895993859695 4.43676886014 -4.98197462829 0.0887247253978 0.0904740465412 0.0887247093254 0.0904740626136
L0F5-100 2 0.0740948608673 1.22681950574 0.105610962013 7.24792966478 -3.65653708871 0.102574145124 0.108647778903 0.102574089321 0.108647834706
L0B5-100 3 0.0581571737179 1.04807391255 0.0842694959748 4.59839863358 -4.80617415949 0.0832883103645 0.0852506815852 0.0832882923346 0.085250699615
L0D5-100 3 0.0461988795253 0.996572077645 0.0727244400435 17.9111195362 -4.40066694394 0.0715148868684 0.0739339932186 0.0715148646421 0.0739340154448
L0F1-100 3 0.0624908337451 1.21236357302 0.0994366479596 8.64376490701 -4.31128443101 0.0975851638297 0.10128813209 0.0975851298076 0.101288166112
L0F2-100 3 0.0757138667863 1.24301410245 0.111613644346 8.62016638359 -3.66197158395 0.107981664332 0.115245624359 0.107981597593 0.115245691099
L0F3-100 3 0.0785197029827 1.23476171814 0.103762760891 8.78554166094 -3.49851826579 0.0998192190988 0.107706302684 0.099819146634 0.107706375149
L0F4-100 3 0.0786184299298 1.21886700295 0.118519311612 9.94789381507 -3.27893347063 0.113138322748 0.123900300475 0.113138223869 0.123900399354
L0F5-100 3 0.0677532472496 1.21409751873 0.0917651237255 7.47142936579 -3.83443793701 0.0894745997906 0.0940556476604 0.089474557701 0.0940556897501
