Well	Sample	Rep	x_axis_cutoff	Keep
A1	L0P1-100	1	15	FALSE
A2	L0P1-100	2	48	TRUE
A3	L0P1-100	3	48	TRUE
A4	L0J1-100	1	48	TRUE
A5	L0J1-100	2	48	TRUE
A6	L0J1-100	3	48	TRUE
A7	L1B1-100	1	30	TRUE
A8	L1B1-100	2	30	TRUE
B1	L0P2-100	1	48	TRUE
B2	L0P2-100	2	48	TRUE
B3	L0P2-100	3	48	TRUE
B4	L0J2-100	1	48	TRUE
B5	L0J2-100	2	48	TRUE
B6	L0J2-100	3	48	TRUE
B7	L1B2-100	1	48	TRUE
B8	L1B2-100	2	30	TRUE
C1	L0P3-100	1	48	TRUE
C2	L0P3-100	2	48	TRUE
C3	L0P3-100	3	48	TRUE
C4	L0J3-100	1	48	TRUE
C5	L0J3-100	2	48	TRUE
C6	L0J3-100	3	48	TRUE
C7	L1B3-100	1	30	TRUE
C8	L1B3-100	2	33	TRUE
D1	L0P4-100	1	48	TRUE
D2	L0P4-100	2	48	TRUE
D3	L0P4-100	3	48	TRUE
D4	L0J4-100	1	48	TRUE
D5	L0J4-100	2	48	TRUE
D6	L0J4-100	3	48	TRUE
D7	L1B4-100	1	48	TRUE
D8	L1B4-100	2	30	TRUE
E1	L0P5-100	1	48	TRUE
E2	L0P5-100	2	48	TRUE
E3	L0P5-100	3	48	TRUE
E4	L0J5-100	1	48	TRUE
E5	L0J5-100	2	48	TRUE
E6	L0J5-100	3	48	TRUE
E7	L1B5-100	1	48	TRUE
E8	L1B5-100	2	33	TRUE
F1	L1B1-100	3	30	TRUE
F2	L1B2-100	3	35	TRUE
F3	L1B3-100	3	32	TRUE
F4	L1B4-100	3	48	TRUE
F5	L1B5-100	3	34	TRUE
F6	blank_media	1	48	FALSE
F7	blank_media	2	48	FALSE
F8	blank_media	3	48	FALSE
