Well	Sample	Rep	x_axis_cutoff	Keep
A1	L2B1-100	1	48	TRUE
A2	L2B2-100	1	48	TRUE
A3	L2B3-100	1	48	TRUE
A4	L2B4-100	1	48	TRUE
A5	L2B5-100	1	48	TRUE
A6	L2F1-100	1	48	TRUE
A7	L2F2-100	1	48	TRUE
A8	L2F3-100	1	48	TRUE
B1	L2F4-100	1	48	TRUE
B2	L2F5-100	1	48	TRUE
B3	blank_media	1	48	FALSE
B4	empty	1	48	FALSE
B5	empty	1	48	FALSE
B6	empty	1	48	FALSE
B7	empty	1	48	FALSE
B8	empty	1	48	FALSE
C1	L2B1-100	1	48	TRUE
C2	L2B2-100	1	48	TRUE
C3	L2B3-100	1	48	TRUE
C4	L2B4-100	1	48	TRUE
C5	L2B5-100	1	48	TRUE
C6	L2F1-100	1	48	TRUE
C7	L2F2-100	1	48	TRUE
C8	L2F3-100	1	48	TRUE
D1	L2F4-100	1	48	TRUE
D2	L2F5-100	1	48	TRUE
D3	blank_media	1	48	FALSE
D4	empty	1	48	FALSE
D5	empty	1	48	FALSE
D6	empty	1	48	FALSE
D7	empty	1	48	FALSE
D8	empty	1	48	FALSE
E1	L2B1-100	1	48	TRUE
E2	L2B2-100	1	48	TRUE
E3	L2B3-100	1	48	TRUE
E4	L2B4-100	1	48	TRUE
E5	L2B5-100	1	48	TRUE
E6	L2F1-100	1	48	TRUE
E7	L2F2-100	1	48	TRUE
E8	L2F3-100	1	48	TRUE
F1	L2F4-100	1	48	TRUE
F2	L2F5-100	1	48	TRUE
F3	blank_media	1	48	FALSE
F4	empty	1	48	FALSE
F5	empty	1	48	FALSE
F6	empty	1	48	FALSE
F7	empty	1	48	FALSE
F8	empty	1	48	FALSE
