Well	Sample	Rep	x_axis_cutoff	Keep
A1	L0P1-100	1	48	TRUE
A2	L1J1-100	1	48	TRUE
A3	L1J1-100	2	48	TRUE
A4	L1J1-100	3	48	TRUE
A5	L1F1-100	1	48	TRUE
A6	L1F1-100	2	48	TRUE
A7	L1F1-100	3	48	TRUE
A8	empty	1	48	FALSE
B1	L0P1-100	2	48	TRUE
B2	L1J2-100	1	48	TRUE
B3	L1J2-100	2	48	TRUE
B4	L1J2-100	3	48	TRUE
B5	L1F2-100	1	48	TRUE
B6	L1F2-100	2	48	TRUE
B7	L1F2-100	3	48	TRUE
B8	empty	2	48	FALSE
C1	L0P1-100	3	48	TRUE
C2	L1J3-100	1	48	TRUE
C3	L1J3-100	2	48	TRUE
C4	L1J3-100	3	48	TRUE
C5	L1F3-100	1	48	TRUE
C6	L1F3-100	2	48	TRUE
C7	L1F3-100	3	48	TRUE
C8	empty	3	48	FALSE
D1	empty	4	48	FALSE
D2	L1J5-100	1	48	TRUE
D3	L1J5-100	2	48	TRUE
D4	L1J5-100	3	48	TRUE
D5	L1F4-100	1	48	TRUE
D6	L1F4-100	2	48	TRUE
D7	L1F4-100	3	48	TRUE
D8	empty	5	48	FALSE
E1	L1D4-100	1	48	TRUE
E2	L1D4-100	2	48	TRUE
E3	L1D4-100	3	48	TRUE
E4	empty	6	48	FALSE
E5	L1F5-100	1	48	TRUE
E6	L1F5-100	2	48	TRUE
E7	L1F5-100	3	48	TRUE
E8	empty	7	48	FALSE
F1	L1D5-100	1	48	TRUE
F2	L1D5-100	2	48	TRUE
F3	L1D5-100	3	48	TRUE
F4	empty	8	48	FALSE
F5	blank_media	1	48	FALSE
F6	blank_media	2	48	FALSE
F7	blank_media	3	48	FALSE
F8	blank_media	4	48	FALSE
