Well	Sample	Rep	x_axis_cutoff	Keep
A1	L2D1-100	1	48	TRUE
A2	L2D1-100	2	48	TRUE
A3	L2D1-100	3	48	TRUE
A4	L2F1-100	1	48	TRUE
A5	L2F1-100	2	48	TRUE
A6	L2F1-100	3	48	TRUE
A7	L2J1-100	1	48	TRUE
A8	L2J1-100	2	48	TRUE
B1	L2D2-100	1	48	TRUE
B2	L2D2-100	2	48	TRUE
B3	L2D2-100	3	48	TRUE
B4	L2F2-100	1	48	TRUE
B5	L2F2-100	2	48	TRUE
B6	L2F2-100	3	48	TRUE
B7	L2J2-100	1	48	TRUE
B8	L2J2-100	2	48	TRUE
C1	L2D3-100	1	48	TRUE
C2	L2D3-100	2	48	TRUE
C3	L2D3-100	3	48	TRUE
C4	L2F3-100	1	48	TRUE
C5	L2F3-100	2	48	TRUE
C6	L2F3-100	3	48	TRUE
C7	L2J3-100	1	48	TRUE
C8	L2J3-100	2	48	TRUE
D1	L2D4-100	1	48	TRUE
D2	L2D4-100	2	48	TRUE
D3	L2D4-100	3	48	TRUE
D4	L2F4-100	1	48	TRUE
D5	L2F4-100	2	48	TRUE
D6	L2F4-100	3	48	TRUE
D7	L2J4-100	1	48	TRUE
D8	L2J4-100	2	48	TRUE
E1	L2D5-100	1	48	TRUE
E2	L2D5-100	2	48	TRUE
E3	L2D5-100	3	48	TRUE
E4	L2F5-100	1	48	TRUE
E5	L2F5-100	2	48	TRUE
E6	L2F5-100	3	48	TRUE
E7	L2J5-100	1	48	TRUE
E8	L2J5-100	2	48	TRUE
F1	L2J1-100	3	48	TRUE
F2	L2J2-100	3	48	TRUE
F3	L2J3-100	3	48	TRUE
F4	L2J4-100	3	48	TRUE
F5	L2J5-100	3	48	TRUE
F6	blank_media	1	48	FALSE
F7	blank_media	2	48	FALSE
F8	blank_media	3	48	FALSE
