Well	Sample	Rep	x_axis_cutoff	Keep
A1	L0S1-100	1	48	TRUE
A2	L0S1-100	2	48	TRUE
A3	L0S1-100	3	48	TRUE
A4	L1S1-100	1	48	TRUE
A5	L1S1-100	2	48	TRUE
A6	L1S1-100	3	48	TRUE
A7	L2S1-100	1	48	TRUE
A8	L2S1-100	2	48	TRUE
B1	L0S2-100	1	48	TRUE
B2	L0S2-100	2	48	TRUE
B3	L0S2-100	3	48	TRUE
B4	L1S2-100	1	48	TRUE
B5	L1S2-100	2	48	TRUE
B6	L1S2-100	3	48	TRUE
B7	L2S2-100	1	48	TRUE
B8	L2S2-100	2	48	TRUE
C1	L0S3-100	1	48	TRUE
C2	L0S3-100	2	48	TRUE
C3	L0S3-100	3	48	TRUE
C4	L1S3-100	1	48	TRUE
C5	L1S3-100	2	48	TRUE
C6	L1S3-100	3	48	TRUE
C7	L2S3-100	1	48	TRUE
C8	L2S3-100	2	48	TRUE
D1	L0S4-100	1	48	TRUE
D2	L0S4-100	2	48	TRUE
D3	L0S4-100	3	48	TRUE
D4	L1S4-100	1	48	TRUE
D5	L1S4-100	2	48	TRUE
D6	L1S4-100	3	48	TRUE
D7	L2S4-100	1	48	TRUE
D8	L2S4-100	2	48	TRUE
E1	L0S5-100	1	48	TRUE
E2	L0S5-100	2	48	TRUE
E3	L0S5-100	3	48	TRUE
E4	L1S5-100	1	48	TRUE
E5	L1S5-100	2	48	TRUE
E6	L1S5-100	3	48	TRUE
E7	L2S5-100	1	48	TRUE
E8	L2S5-100	2	48	TRUE
F1	L2S1-100	3	48	TRUE
F2	L2S2-100	3	48	TRUE
F3	L2S3-100	3	48	TRUE
F4	L2S4-100	3	48	TRUE
F5	L2S5-100	3	48	TRUE
F6	blank_media	1	48	FALSE
F7	blank_media	2	48	FALSE
F8	blank_media	3	48	FALSE
